scenario_id,scenario_name,A_FRS,A_TAS,A_PESS,A_Composite,A_RAS,B_FRS,B_TAS,B_PESS,B_Composite,B_RAS,Delta_FRS,Delta_TAS,Delta_PESS,Delta_Composite,Delta_RAS,Winner
1,Job Interview Follow-up,0.8,0.9,0.94,0.88,0.9,0.8,0.9,0.94,0.88,0.89,0.0,0.0,0.0,0.0,0.01,A
2,Project Delay Notification,1.0,0.9,0.94,0.9467,0.9,1.0,0.9,0.88,0.9267,0.9,0.0,0.0,0.06,0.02,0.0,A
3,Partnership Cold Outreach,0.8,0.8,0.88,0.8267,0.88,0.8,0.6,0.94,0.78,0.88,0.0,0.2,-0.06,0.0467,0.0,A
4,Meeting Reschedule Request,0.8,0.8,0.78,0.7933,0.88,0.8,0.7,0.94,0.8133,0.88,0.0,0.1,-0.16,-0.02,0.0,B
5,Customer Complaint Resolution,1.0,0.9,0.94,0.9467,0.88,1.0,0.9,0.94,0.9467,0.8,0.0,0.0,0.0,0.0,0.08,A
6,Business Proposal Submission,1.0,0.9,0.94,0.9467,0.9,1.0,0.9,0.94,0.9467,0.88,0.0,0.0,0.0,0.0,0.02,A
7,Team Wellness Programme Announcement,1.0,0.8,0.94,0.9133,0.88,0.8,0.8,0.94,0.8467,0.8,0.2,0.0,0.0,0.0666,0.08,A
8,Recommendation Letter Request,1.0,0.9,0.94,0.9467,0.9,1.0,0.9,0.94,0.9467,0.8,0.0,0.0,0.0,0.0,0.1,A
9,Overdue Invoice Payment Reminder,1.0,0.9,0.88,0.9267,0.88,1.0,0.9,0.94,0.9467,0.9,0.0,0.0,-0.06,-0.02,-0.02,B
10,New Client Welcome & Onboarding,0.6667,1.0,0.94,0.8689,0.9,0.8333,0.9,0.94,0.8911,0.88,-0.1666,0.1,0.0,-0.0222,0.02,B
AVG,— AVERAGE —,0.9067,0.88,0.912,0.8996,0.89,0.9033,0.84,0.934,0.8925,0.861,0.0033,0.04,-0.022,0.0071,0.029,—
