scenario_id,scenario_name,A_FRS,A_TAS,A_PESS,A_Composite,A_RAS,B_FRS,B_TAS,B_PESS,B_Composite,B_RAS,Delta_FRS,Delta_TAS,Delta_PESS,Delta_Composite,Delta_RAS,Winner
1,Job Interview Follow-up,0.8,0.9,0.94,0.88,0.9,0.8,0.9,0.94,0.88,0.9,0.0,0.0,0.0,0.0,0.0,A
2,Project Delay Notification,1.0,0.9,0.94,0.9467,0.9,1.0,0.9,0.94,0.9467,0.88,0.0,0.0,0.0,0.0,0.02,A
3,Partnership Cold Outreach,0.8,0.7,0.94,0.8133,0.8,0.8,0.7,0.78,0.76,0.82,0.0,0.0,0.16,0.0533,-0.02,A
4,Meeting Reschedule Request,0.8,0.7,0.84,0.78,0.9,0.8,0.7,0.84,0.78,0.9,0.0,0.0,0.0,0.0,0.0,A
5,Customer Complaint Resolution,0.8,0.9,0.94,0.88,0.9,1.0,0.9,0.94,0.9467,0.9,-0.2,0.0,0.0,-0.0667,0.0,B
6,Business Proposal Submission,1.0,0.9,0.94,0.9467,0.9,1.0,0.9,0.78,0.8933,0.9,0.0,0.0,0.16,0.0534,0.0,A
7,Team Wellness Programme Announcement,1.0,0.7,0.94,0.88,0.9,1.0,0.8,0.94,0.9133,0.88,0.0,-0.1,0.0,-0.0333,0.02,B
8,Recommendation Letter Request,1.0,0.9,0.94,0.9467,0.9,0.8333,0.9,0.88,0.8711,0.9,0.1667,0.0,0.06,0.0756,0.0,A
9,Overdue Invoice Payment Reminder,1.0,0.9,0.94,0.9467,0.88,1.0,0.9,0.94,0.9467,0.88,0.0,0.0,0.0,0.0,0.0,A
10,New Client Welcome & Onboarding,0.8333,0.9,0.88,0.8711,0.9,0.6667,0.9,0.88,0.8156,0.9,0.1666,0.0,0.0,0.0555,0.0,A
AVG,— AVERAGE —,0.9033,0.84,0.924,0.8891,0.888,0.89,0.85,0.886,0.8753,0.886,0.0133,-0.01,0.038,0.0138,0.002,—
